fonction               adresse        x87  fld  fst  mul  DIV  add  sub  cmp  ild
FUN_1158_04b2          1158:04b2       21    4    4    5    2    0    0    0    0
FUN_1158_12a7          1158:12a7       44   11   10    2    1    2    1    1    1
FUN_1158_04af          1158:04af        9    2    2    1    1    0    1    1    0
FUN_1088_4c86          1088:4c86      220   64   97    1    0    0    0   57    0
FUN_1030_3fc2          1030:3fc2      110   21   54    5    0   17    0    1   12
FUN_1098_38db          1098:38db       65   19   27    0    0    0    0   19    0
FUN_1020_3e65          1020:3e65       54   10   17    4    0    3    4    3   12
FUN_1030_0a88          1030:0a88       43   17   24    0    0    0    0    0    2
FUN_1008_161f          1008:161f       41   13   17    0    0    4    0    1    6
FUN_1020_146f          1020:146f       36   13   17    1    0    1    0    3    0
FUN_1088_4306          1088:4306       35    8   20    6    0    1    0    0    0
FUN_1020_78ab          1020:78ab       25    7   11    0    0    7    0    0    0
FUN_1080_2fa6          1080:2fa6       22   10    5    2    0    3    1    1    0
FUN_10e0_46bc          10e0:46bc       16    6    8    0    0    0    0    0    2
FUN_1158_122d          1158:122d       16    4    6    0    0    0    1    0    0
FUN_1158_060e          1158:060e       12    4    3    0    0    0    0    1    0
FUN_1080_2ea7          1080:2ea7       11    6    4    0    0    0    0    1    0
FUN_1150_36ca          1150:36ca       11    4    2    0    0    0    0    1    0
FUN_1150_37e9          1150:37e9       10    3    4    0    0    0    0    0    0
FUN_1018_7ddc          1018:7ddc        9    4    5    0    0    0    0    0    0
FUN_10e0_4bd4          10e0:4bd4        9    3    5    0    0    0    0    0    1
FUN_1020_66ee          1020:66ee        8    3    4    0    0    1    0    0    0
FUN_1020_6be2          1020:6be2        8    3    4    0    0    1    0    0    0
FUN_10b8_373a          10b8:373a        8    4    4    0    0    0    0    0    0
FUN_10e0_710d          10e0:710d        8    3    3    0    0    0    0    0    2
FUN_1158_07de          1158:07de        8    3    2    0    0    0    0    0    0
FUN_1020_745c          1020:745c        7    2    3    0    0    2    0    0    0
FUN_10e0_443c          10e0:443c        7    1    3    0    0    0    0    3    0
