 seg  type    offset   taille  flags
   1  CODE    236512    16247  0x1d10
   2  CODE    253664    24629  0x1d10
   3  CODE    280672    16242  0x1d10
   4  CODE    297312    45048  0x1d10
   5  CODE    357888    35667  0x1d10
   6  CODE    396480    16245  0x1d10
   7  CODE    413056    25163  0x1d10
   8  CODE    440032    26789  0x1d10
   9  CODE    469344    28787  0x1d10
  10  CODE    501376    23971  0x1d10
  11  CODE    527776    17963  0x1d10
  12  CODE    546528    31975  0x1d10
  13  CODE    581120    30968  0x1d10
  14  CODE    613760    17966  0x1d10
  15  CODE    632096    21603  0x1d10
  16  CODE    656160    31424  0x1d10
  17  CODE    689312    16063  0x1d10
  18  CODE    706144    32463  0x1d10
  19  CODE    742016    15805  0x1d10
  20  CODE    758112    24087  0x1d10
  21  CODE    783360    12769  0x1d10
  22  CODE    796384    13084  0x1d10
  23  CODE    809568    14611  0x1d10
  24  CODE    824416    20858  0x1d10
  25  CODE    845888    16318  0x1d10
  26  CODE    862368    14210  0x1d10
  27  CODE    876800    16344  0x1d10
  28  CODE    893408    31657  0x1d10
  29  CODE    925248    33579  0x1d10
  30  CODE    960672    12925  0x1d10
  31  CODE    973760    11864  0x1d10
  32  CODE    985984    39889  0x1d10
  33  CODE   1026208    11928  0x1d10
  34  CODE      3328    14900  0x1d50
  35  CODE     18816    12225  0x1d50
  36  CODE     31168    13616  0x1d50
  37  CODE     44960    34686  0x1d50
  38  CODE     79968    29068  0x1d50
  39  CODE    109664     8908  0x1d50
  40  CODE    118720    28416  0x1d50
  41  CODE    147776    33044  0x1d50
  42  CODE    181760    21421  0x1d50
  43  CODE    203392    14761  0x0d50
  44  CODE    219040     9079  0x0d50
  45  DATA    229824     4584  0x0d59

total CODE = 969265 octets, total DATA = 4584 octets
